Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
199,1743127213446,4443.95881652832,3600,1,1.45625,289.0251159667969,3600,1,1.45625,4335.778839111328,3600,1,1.45625,847.9487609863281,3340,1,1.45625,274.0077819824219,3340,1,1.45625,7031.235046386719,4175,0,1.45625,17143.28726196289,3646,3606,3749,3749,3647,3019,3749,3748,3653,3671,3597,3343,0,5,0,55,0,0,0,33.333335876464844,0,0,4.761904716491699,0,33574961152,17179865088,4247511040,0
199,1743127213646,4444.028610229492,3600,1,1.46875,289.11363220214844,3600,1,1.46875,4335.836990356445,3600,1,1.46875,848.0916290283203,3340,1,1.46875,274.12648010253906,3340,1,1.46875,7032.044708251953,4175,0,1.46875,17149.969696044922,3646,3606,3749,3749,3647,3019,3749,3748,3653,3671,3597,3343,0,0,0,100,0,0,0,0,0,0,0,0,33574961152,17179865088,4247511040,0
199,1743127213846,4444.167556762695,3600,1,1.3375,289.2251434326172,3600,1,1.3375,4335.952438354492,3600,1,1.3375,848.2494354248047,3600,1,1.3375,274.2121124267578,3600,1,1.3375,7032.576843261719,3600,1,1.3375,17155.926147460938,3646,3606,3749,3749,3647,3019,3749,3748,3653,3671,3597,3343,10,5,0,45,0,9.523809432983398,4.761904716491699,5,5,9.523809432983398,0,0,33574961152,17179865088,4209664000,0
200,1743127214046,4444.257354736328,3600,1,1.0875,289.3042297363281,3600,1,1.0875,4336.042083740234,3600,1,1.0875,848.3096466064453,3600,1,1.0875,274.27220153808594,3600,1,1.0875,7032.639022827148,3600,1,1.0875,17160.5791015625,3646,3606,3749,3749,3647,3019,3749,3748,3653,3671,3597,3343,5,0,0,0,5,0,5,0,0,0,5.263157844543457,0,33574961152,17179865088,4207710208,0
200,1743127214246,4444.276794433594,3750,0,1.0875,289.31756591796875,3000,1,1.0875,4336.058700561523,3000,1,1.0875,848.3290405273438,3600,1,1.0875,274.2883758544922,3600,1,1.0875,7032.658615112305,3600,1,1.0875,17164.298919677734,3646,3606,3749,3749,3647,3019,3749,3748,3653,3671,3597,3343,0,0,0,0,0,0,0,0,0,0,0,0,33574961152,17179865088,4207710208,0
199,1743127214447,4444.280578613281,3600,1,1.0875,289.3241424560547,3600,1,1.0875,4336.064376831055,3600,1,1.0875,848.3348846435547,3600,1,1.0875,274.2938232421875,3600,1,1.0875,7032.661117553711,3600,1,1.0875,17167.263427734375,3646,3606,3749,3749,3647,3019,3749,3748,3653,3671,3597,3343,0,0,0,0,0,0,0,0,0,0,4.545454502105713,0,33574961152,17179865088,4207955968,0
199,1743127214647,4444.335968017578,3600,1,1.075,289.3438415527344,3600,1,1.075,4336.134323120117,3600,1,1.075,848.3757781982422,3750,0,1.075,274.3033447265625,3000,1,1.075,7032.677398681641,3000,1,1.15625,17171.030517578125,3646,3606,3749,3749,3647,3019,3749,3748,3653,3671,3597,3343,0,4.761904716491699,0,4.761904716491699,0,0,0,5,9.523809432983398,0,0,0,33574961152,17179865088,4213198848,0
198,1743127214848,4444.431488037109,3750,0,1.16875,289.34857177734375,3000,1,1.16875,4336.188751220703,3750,0,1.16875,848.4334869384766,3750,0,1.16875,274.3233337402344,3000,1,1.16875,7032.694549560547,3000,1,1.16875,17175.443740844727,3646,3606,3749,3749,3647,3019,3749,3748,3653,3671,3597,3343,5.263157844543457,0,0,0,0,0,0,0,0,0,0,0,33574961152,17179865088,4205969408,0
199,1743127215047,4444.475646972656,3600,1,1.075,289.36016845703125,3600,1,1.075,4336.207275390625,3600,1,1.075,848.4826354980469,3600,1,1.075,274.33323669433594,3600,1,1.075,7032.701507568359,3000,1,1.075,17179.711685180664,3646,3606,3749,3749,3647,3019,3749,3748,3653,3671,3597,3343,5.263157844543457,0,0,0,0,0,0,0,0,0,0,0,33574961152,17179865088,4205924352,0
200,1743127215247,4444.483093261719,3600,1,1.075,289.3603210449219,3600,1,1.075,4336.209075927734,3000,1,1.075,848.5273895263672,3750,0,1.075,274.3386688232422,3000,1,1.075,7032.706954956055,3000,1,1.075,17183.856018066406,3646,3606,3749,3749,3647,3019,3749,3748,3653,3671,3597,3343,0,2.5,0,0,0,0,0,0,0,0,0,0,33574961152,17179865088,4205916160,0
