Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
199,1743127248888,4473.603805541992,3600,1,1.45625,295.155029296875,3600,1,1.45625,4411.861083984375,3600,1,1.45625,861.7846984863281,3300,1,1.45625,280.98309326171875,3300,1,1.45625,7078.504898071289,4125,0,1.45625,18058.281707763672,2971,3292,3749,3750,3748,3622,3747,3748,3000,3637,3749,3057,5,0,0,0,5,0,0,90,0,4.761904716491699,0,0,33574961152,17179865088,4275150848,0
199,1743127249088,4473.83039855957,3600,1,1.45625,295.30625915527344,3600,1,1.45625,4411.989395141602,3600,1,1.45625,861.9464874267578,3340,1,1.45625,281.1510925292969,3340,1,1.45625,7079.932510375977,4175,0,1.45625,18065.771408081055,2971,3292,3749,3750,3748,3622,3747,3748,3000,3637,3749,3057,5,0,0,40,0,0,5,52.38095474243164,9.090909004211426,0,0,0,33574961152,17179865088,4274888704,0
199,1743127249288,4473.869964599609,3600,1,1.4625000000000001,295.32958984375,3600,1,1.4625000000000001,4411.997360229492,3600,1,1.4625000000000001,862.0726318359375,3360,1,1.4625000000000001,281.20082092285156,3360,1,1.4625000000000001,7080.731521606445,4200,0,1.4625000000000001,18072.093521118164,2971,3292,3749,3750,3748,3622,3747,3748,3000,3637,3749,3057,0,0,0,0,0,0,0,100,0,0,0,0,33574961152,17179865088,4274888704,0
199,1743127249488,4473.96662902832,3600,1,1.0875,295.4408264160156,3600,1,1.0875,4412.123992919922,3600,1,1.0875,862.2356719970703,3600,1,1.0875,281.33009338378906,3600,1,1.0875,7081.078689575195,4050,1,1.0875,18077.603729248047,2971,3292,3749,3750,3748,3622,3747,3748,3000,3637,3749,3057,0,0,5,0,4.761904716491699,15.000000953674316,4.761904716491699,26.3157901763916,0,0,4.761904716491699,0,33574961152,17179865088,4209561600,0
200,1743127249689,4474.055618286133,3600,1,1.0875,295.51963806152344,3600,1,1.0875,4412.206039428711,3750,1,1.0875,862.3091735839844,3000,1,1.16875,281.40248107910156,3750,0,1.16875,7081.155731201172,3750,0,1.16875,18082.298538208008,2971,3292,3749,3750,3748,3622,3747,3748,3000,3637,3749,3057,5,0,0,0,5,0,0,4.761904716491699,0,0,0,0,33574961152,17179865088,4185616384,0
199,1743127249889,4474.065673828125,3600,1,1.0875,295.5292510986328,3600,1,1.0875,4412.217056274414,3600,1,1.0875,862.3362121582031,3600,1,1.0875,281.4194030761719,3600,1,1.0875,7081.1729736328125,3600,1,1.0875,18086.000122070313,2971,3292,3749,3750,3748,3622,3747,3748,3000,3637,3749,3057,0,0,0,0,0,0,0,0,0,0,0,0,33574961152,17179865088,4185616384,0
200,1743127250089,4474.071441650391,3000,1,1.15625,295.5349578857422,3750,0,1.15625,4412.222763061523,3000,1,1.15625,862.3484954833984,3750,0,1.15625,281.42176818847656,3000,1,1.15625,7081.177978515625,3000,1,1.15625,18088.975494384766,2971,3292,3749,3750,3748,3622,3747,3748,3000,3637,3749,3057,0,0,0,0,0,0,0,0,0,0,0,0,33574961152,17179865088,4185862144,0
199,1743127250290,4474.078079223633,3600,1,0.19999999999999996,295.5360107421875,3600,1,0.19999999999999996,4412.226272583008,3000,1,1.0875,862.3611450195313,3600,1,1.0875,281.42405700683594,3600,1,1.0875,7081.182479858398,3600,1,1.0875,18091.907135009766,2971,3292,3749,3750,3748,3622,3747,3748,3000,3637,3749,3057,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,33574961152,17179865088,4185866240,0
200,1743127250490,4474.1065673828125,3600,1,1.0875,295.56471252441406,3600,1,1.0875,4412.303924560547,3750,1,1.0875,862.4105834960938,3750,0,1.0875,281.4716339111328,3750,0,1.0875,7081.242080688477,3750,0,1.0875,18095.91326904297,2971,3292,3749,3750,3748,3622,3747,3748,3000,3637,3749,3057,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,33574961152,17179865088,4186861568,0
199,1743127250690,4474.11262512207,3600,1,1.0875,295.57701110839844,3600,1,1.0875,4412.32731628418,3600,1,1.0875,862.4356536865234,3600,1,1.0875,281.4973449707031,3600,1,1.0875,7081.26042175293,3600,1,1.0875,18099.671615600586,2971,3292,3749,3750,3748,3622,3747,3748,3000,3637,3749,3057,0,0,0,0,0,0,0,0,0,0,0,0,33574961152,17179865088,4186861568,0
